"","Blue","CloudMask","CloudMaskConfidence","FieldValue","Green","ImageDate","ImageName","Lake","MaxDepth","Method","NIR","Organization","Red","SWIR1","SWIR2","SampleDepth","SamplingDate","Sensor","StationID","AbsDiffInDays","Dataset"
"440",1015,1,1,6.3,1343,2009-09-18,"LT50380322009261","Utah",-9999,"Chlorophyll-A (Colorimet)",275,"UTAHDWQ",912,61,63,-9999,2009-09-17,"LANDSAT/LT5_SR",4917520,1,"Calibration"
"441",1093,1,1,6.3,1470,2009-09-10,"LE70380322009253","Utah",-9999,"Chlorophyll-A (Colorimet)",297,"UTAHDWQ",1027,4,15,-9999,2009-09-17,"LANDSAT/LE7_SR",4917520,7,"Calibration"
"443",1085,1,1,9.3,1460,2009-09-18,"LT50380322009261","Utah",-9999,"Chlorophyll-A (Colorimet)",326,"UTAHDWQ",1078,37,64,-9999,2009-09-17,"LANDSAT/LT5_SR",4917370,1,"Calibration"
"445",1212,1,1,9.3,1531,2009-09-26,"LE70380322009269","Utah",-9999,"Chlorophyll-A (Colorimet)",250,"UTAHDWQ",1062,14,20,-9999,2009-09-17,"LANDSAT/LE7_SR",4917370,9,"Calibration"
"446",807,1,1,20.8,1115,2009-09-18,"LT50380322009261","Utah",-9999,"Chlorophyll-A (Colorimet)",251,"UTAHDWQ",761,13,24,-9999,2009-09-17,"LANDSAT/LT5_SR",4917390,1,"Calibration"
"450",946,1,1,30.5,1336,2009-09-10,"LE70380322009253","Utah",-9999,"Chlorophyll-A (Colorimet)",352,"UTAHDWQ",1032,48,17,-9999,2009-09-17,"LANDSAT/LE7_SR",4917770,7,"Calibration"
"451",1044,1,1,30.5,1389,2009-09-26,"LE70380322009269","Utah",-9999,"Chlorophyll-A (Colorimet)",296,"UTAHDWQ",1031,14,20,-9999,2009-09-17,"LANDSAT/LE7_SR",4917770,9,"Calibration"
"453",534,1,1,47.7,796,2009-09-10,"LE70380322009253","Utah",-9999,"Chlorophyll-A (Colorimet)",481,"UTAHDWQ",524,8,56,-9999,2009-09-17,"LANDSAT/LE7_SR",4917450,7,"Calibration"
"454",481,1,1,47.7,891,2009-09-26,"LE70380322009269","Utah",-9999,"Chlorophyll-A (Colorimet)",393,"UTAHDWQ",593,16,21,-9999,2009-09-17,"LANDSAT/LE7_SR",4917450,9,"Calibration"
"455",586,1,1,127.1,932,2009-09-18,"LT50380322009261","Utah",-9999,"Chlorophyll-A (Colorimet)",506,"UTAHDWQ",706,17,68,-9999,2009-09-17,"LANDSAT/LT5_SR",4917600,1,"Calibration"
"456",921,1,1,127.1,1246,2009-09-10,"LE70380322009253","Utah",-9999,"Chlorophyll-A (Colorimet)",420,"UTAHDWQ",957,96,101,-9999,2009-09-17,"LANDSAT/LE7_SR",4917600,7,"Calibration"
"457",613,1,1,127.1,941,2009-09-26,"LE70380322009269","Utah",-9999,"Chlorophyll-A (Colorimet)",451,"UTAHDWQ",638,63,24,-9999,2009-09-17,"LANDSAT/LE7_SR",4917600,9,"Calibration"
"469",1800,1,1,3.2,2167,2010-06-09,"LE70380322010160","Utah",-9999,"Chlorophyll-A (Colorimet)",674,"UTAHDWQ",1518,453,418,-9999,2010-06-14,"LANDSAT/LE7_SR",4917370,5,"Calibration"
"470",1464,1,1,3.6,1957,2010-06-17,"LT50380322010168","Utah",-9999,"Chlorophyll-A (Colorimet)",362,"UTAHDWQ",1457,57,22,-9999,2010-06-14,"LANDSAT/LT5_SR",4917390,3,"Calibration"
"471",1395,1,1,3.6,1703,2010-06-09,"LE70380322010160","Utah",-9999,"Chlorophyll-A (Colorimet)",481,"UTAHDWQ",1132,287,282,-9999,2010-06-14,"LANDSAT/LE7_SR",4917390,5,"Calibration"
